id,topup_plan_type,company_name,employee_mobile_no,employee_code,work_email,grade_carde,employee_type,employee_name,designation,doj_organization,work_location,dependends,created_at,updated_at
35,parentInLaws,HDFCEREGO,6789380061,14657,Rahul.gupta6@sdfghj.com,Manager 02,Permanent,Test Irfan,Sr Manager,1990-03-31 05:30:00+05:30,high,1,2022-11-25 15:27:49.155+05:30,2022-11-25 15:29:44.68+05:30
36,employee,fghj,1234567890,sdf,rahul.gupta6@sdfghj.com,vbhn,fvgbhn,rahul,dev,2019-12-12 05:30:00+05:30,qwe,zero,2022-11-28 11:34:45.666+05:30,2022-12-29 16:38:57.267+05:30
37,employeeTopUp,dummy,9876543210,123456,drishan.dang@sdfghj.com,m1,permanent,dummy,ertyui,2019-05-13 05:30:00+05:30,mumbai,1,2022-11-28 12:04:42.383+05:30,2022-11-28 12:07:51.728+05:30
38,employee,ytguhijkol,1234567890,dxfghjkl;,aniket.pawar@sdfghj.com,trdfgyuhjikol,"fgcvbhjnkml,",rdfghjknml,frtgyuhijokl;,2022-12-16 05:30:00+05:30,rtdfgyuhjikol;,double,2022-12-19 14:59:40.047+05:30,2022-12-22 14:20:52.951+05:30
39,employee,Test,1234653210,12341234,drishan.dang@sdfghj.com,M3,Full tjme,Drishan,Senior manager,2020-07-16 05:30:00+05:30,Bhandup,double,2022-12-21 07:55:37.463+05:30,2022-12-21 08:01:19.34+05:30
40,employee,HDFC,1244733366,18152,prachi.maniar@sdfghj.com,18152,Permenant,Prachi,AVP,2021-12-16 05:30:00+05:30,Ahmedabad,single,2022-12-21 11:21:17.604+05:30,2022-12-21 15:23:15.992+05:30
41,,,,,prachi.maniar@sdfghj.com,,,,,,,,2022-12-21 17:17:18.57+05:30,2022-12-21 17:17:33.997+05:30
42,employee,hdfc ergo,1234085354,12345,drishan.dang@sdfghj.com,m2,permanent,drishan dang,acbdfg,2018-11-14 05:30:00+05:30,bhandup,double,2022-12-22 14:22:04.14+05:30,2022-12-22 14:26:05.038+05:30
43,employee,dfxcgvbhn,1234567890,drfghjbk,aniket.pawar@sdfghj.com,redtfgyhjk,fgvbhjnkm,esrdftghjk,dfghjkl,2022-12-08 05:30:00+05:30,fcgvbhnjmk,single,2022-12-22 16:08:54.593+05:30,2022-12-26 15:24:10.149+05:30
44,employee,werty,1234567890,234,rahul.gupta6@sdfghj.com,1234,123456,rahul,sadfgh,2023-01-11 05:30:00+05:30,bhandup,zero,2022-12-30 12:19:51.827+05:30,2023-01-12 14:48:36.391+05:30
45,,,,,aniket.pawar@sdfghj.com,,,,,,,,2022-12-30 12:50:15.916+05:30,2023-04-04 12:55:07.298+05:30
46,parent,name,192098765,192,sudarshan.patil@sdfghj.com,a,11,name,nd,2023-03-01 05:30:00+05:30,eeee,single,2023-03-02 17:42:21.362+05:30,2023-03-02 17:48:38.066+05:30
